314;##########Tabulka F133_mzddmn
0;dm;nzdm;dndm;td;nap_zp;nap_np;nap_sp;nap_ip;nap_pn;nap_up;nap_gf;nap_rf;br;rh;do;ne;ho;np;prn;prm;prv;prs;sa;ko;sax;su;au;suc;auc;dm1;dm2;dm3;dm4;datm
1;922;HAL.VYROVNANIE;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;379;50;379;50;0;0;0;0;2019-05-23 10:06:30
1;923;ZMETKY;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;355;50;335;50;0;0;0;0;2019-05-23 10:06:30
1;924;ZNICENE NARADIE;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;355;50;335;50;0;0;0;0;2019-05-23 10:06:30
1;925;MANKA;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;355;50;335;50;0;0;0;0;2019-05-23 10:06:30
1;926;OBEDY;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1.1800;100;0;379;50;379;50;0;0;0;0;2019-05-23 10:06:30
1;927;REGRESY;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;379;50;379;50;0;0;0;0;2019-05-23 10:06:30
1;928;DAN OSD10,20;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;342;60;342;60;0;0;0;0;2019-05-23 10:06:30
1;929;ZALOHA;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;331;0;366;0;0;0;0;0;2019-05-23 10:06:30
1;930;MIMOR ZALOH;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;331;0;366;0;0;0;0;0;2019-05-23 10:06:30
1;931;NATURALIE;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;379;50;379;50;0;0;0;0;2019-05-23 10:06:30
1;933;MINUSOVA DOB;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;379;50;379;50;0;0;0;0;2019-05-23 10:06:30
1;934;ZRAZKA MINU;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;379;50;379;50;0;0;0;0;2019-05-23 10:06:30
1;935;VYPL.CEZ BANKU;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;379;50;379;50;0;0;0;0;2019-05-23 10:06:30
1;936;TRANSFER;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;379;50;379;50;0;0;0;0;2019-05-23 10:06:30
1;951;Zrazk.dan;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;342;20;342;20;0;0;0;0;2019-05-23 10:06:30
1;952;Dan.bonus z RZd;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;0;0;342;10;342;10;0;0;0;0;2019-05-23 10:06:30
1;953;Zam.premia;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;0;0;342;10;342;10;0;0;0;0;2019-05-23 10:06:30
1;954;Roc.zuc.ZP;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;336;90;336;90;0;0;0;0;2019-05-23 10:06:30
1;955;Prep.od.SP;;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;336;90;336;90;0;0;0;0;2019-05-23 10:06:30
1;965;DOPL.DOCH.P;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;100;0;336;90;336;90;0;0;0;0;2019-05-23 10:06:30
1;968;DD.poist. II.P;;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0.0000;0;0;366;0;366;0;0;0;0;0;2019-05-23 10:06:30
1;998;Nep.plnenie;;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0000;0;0;;;;;0;0;0;0;2019-05-23 10:06:30
1;999;Kolekcie;;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0000;0;0;;;;;0;0;0;0;2019-05-23 10:06:30
